|--------------------|----------|------------|--------|------|-----------------|
| advincula          | s1F      |          1 | F      | T    | FEXFM           |
|--------------------|----------|------------|--------|------|-----------------|
| advocata           | s1F      |          1 | F      | P    | XXXEO           |
|--------------------|----------|------------|--------|------|-----------------|
| advorsa            | s1F      |          1 | F      | P    | BXXFO           |
|--------------------|----------|------------|--------|------|-----------------|
| advorsaria         | s1F      |          1 | F      | P    | BXXEX           |
|--------------------|----------|------------|--------|------|-----------------|
| aecclesia          | s1F      |          1 | F      | T    | FEXEZ           |
|--------------------|----------|------------|--------|------|-----------------|
| aeclesia           | s1F      |          1 | F      | T    | FEXEX           |
|--------------------|----------|------------|--------|------|-----------------|
| aedicula           | s1F      |          1 | F      | W    | XXXCO           |
|--------------------|----------|------------|--------|------|-----------------|
| aedificatiuncula   | s1F      |          1 | F      | W    | XTXFO           |
|--------------------|----------|------------|--------|------|-----------------|
| aedificatoria      | s1F      |          1 | F      | T    | DTXES           |
|--------------------|----------|------------|--------|------|-----------------|
| aeditua            | s1F      |          1 | F      | P    | XEXIO           |
|--------------------|----------|------------|--------|------|-----------------|
| aegilopa           | s1F      |          1 | F      | T    | XXXFS           |
|--------------------|----------|------------|--------|------|-----------------|
| aegrimonia         | s1F      |          1 | F      | T    | XXXDO           |
|--------------------|----------|------------|--------|------|-----------------|
| aegyptilla         | s1F      |          1 | F      | T    | XXENO           |
|--------------------|----------|------------|--------|------|-----------------|
| aemula             | s1F      |          1 | F      | P    | XXXCO           |
|--------------------|----------|------------|--------|------|-----------------|
| aena               | s1F      |          1 | F      | T    | XXXNO           |
|--------------------|----------|------------|--------|------|-----------------|
| aenigmatista       | s1M      |          1 | M      | P    | DXXFS           |
|--------------------|----------|------------|--------|------|-----------------|
| aeolipila          | s1F      |          1 | F      | T    | XSXFS           |
|--------------------|----------|------------|--------|------|-----------------|
| aequidistantia     | s1F      |          1 | F      | T    | GXXEK           |
|--------------------|----------|------------|--------|------|-----------------|
| aequiparantia      | s1F      |          1 | F      | T    | DXXFS           |
|--------------------|----------|------------|--------|------|-----------------|
| aequiperantia      | s1F      |          1 | F      | T    | DXXES           |
|--------------------|----------|------------|--------|------|-----------------|
| aera               | s1F      |          1 | F      | T    | XAXNO           |
|--------------------|----------|------------|--------|------|-----------------|
| aeraria            | s1F      |          1 | F      | T    | XXXEO           |
|--------------------|----------|------------|--------|------|-----------------|
| aerizusa           | s1F      |          1 | F      | T    | XXXNO           |
|--------------------|----------|------------|--------|------|-----------------|
| aeromantia         | s1F      |          1 | F      | T    | DEXFS           |
|--------------------|----------|------------|--------|------|-----------------|
| aeroplaniga        | s1M      |          1 | M      | P    | HXXEK           |
|--------------------|----------|------------|--------|------|-----------------|
| aeroplanigera      | s1F      |          1 | F      | T    | HXXEK           |
|--------------------|----------|------------|--------|------|-----------------|
| aeruca             | s1F      |          1 | F      | T    | XXXFO           |
|--------------------|----------|------------|--------|------|-----------------|
| aerumna            | s1F      |          1 | F      | T    | XXXCO           |
|--------------------|----------|------------|--------|------|-----------------|
| aerumnula          | s1F      |          1 | F      | T    | XXXFS           |
|--------------------|----------|------------|--------|------|-----------------|
| aeschrologia       | s1F      |          1 | F      | T    | DGXFS           |
|--------------------|----------|------------|--------|------|-----------------|
| aesnescia          | s1F      |          1 | F      | T    | FLXFJ           |
|--------------------|----------|------------|--------|------|-----------------|
| aesthetica         | s1F      |          1 | F      | T    | FSXEE           |
|--------------------|----------|------------|--------|------|-----------------|
| aestimia           | s1F      |          1 | F      | T    | DXXFS           |
|--------------------|----------|------------|--------|------|-----------------|
| aetatula           | s1F      |          1 | F      | T    | XXXCO           |
|--------------------|----------|------------|--------|------|-----------------|
| Aethiopia          | s1F      |          1 | F      | L    | XXACO           |
