lexeme,category,declension,variation,kind,additional_info
acidulus,a1,1,1,POS,XXXEO
acinarius,a1,1,1,POS,XXXFO
acinaticius,a1,1,1,POS,XAXFO
acinosus,a1,1,1,POS,XAXNO
acoenonetus,a1,1,1,POS,XXXFS
acoenonoetus,a1,1,1,POS,XXXFO
acquisitus,a1,1,1,POS,XXXFO
acriculus,a1,1,1,POS,XXXFO
acroamatarius,a1,1,1,POS,DDXFS
acroamaticus,a1,1,1,POS,DDXFS
acroaticus,a1,1,1,POS,XXXEO
acrobaticus,a1,1,1,POS,GXXEK
acrolithus,a1,1,1,POS,XXXEO
acrozymus,a1,1,1,POS,DXXFS
acrufolius,a1,1,1,POS,XAXFO
actinosus,a1,1,1,POS,DEXFS
activus,a1,1,1,POS,XXXEO
actorius,a1,1,1,POS,DXXFS
actuarius,a1,1,1,POS,XXXCO
actuosus,a1,1,1,POS,XXXCO
aculeatus,a1,1,1,POS,XXXCO
acuminarius,a1,1,1,POS,XXXFS
acuminatus,a1,1,1,POS,XXXNO
acupedius,a1,1,1,POS,XXXFS
acusticus,a1,1,1,POS,GDXEK
acutus,a1,1,1,POS,XSXCO
acutarus,a1,1,1,POS,DXXFS
acutatus,a1,1,1,POS,DXXFS
acutulus,a1,1,1,POS,XXXEO
adaequatus,a1,1,1,POS,FXXEE
adalgidus,a1,1,1,POS,XXXES
adamanteus,a1,1,1,POS,XTXEO
adamantinus,a1,1,1,POS,XXXCO
adapertivus,a1,1,1,POS,EXXFP
adaptertus,a1,1,1,POS,XXXDO
adariarius,a1,1,1,POS,DEXFS
adbreviatus,a1,1,1,POS,EXXCW
adclivus,a1,1,1,POS,XXXCO
adcommodus,a1,1,1,POS,XXXEO
adcommodatus,a1,1,1,nor,XXXCO
adcretus,a1,1,1,POS,XXXNO
adcubitorius,a1,1,1,POS,DXXFS
adcuratus,a1,1,1,nor,XXXCO
addendus,a1,1,1,POS,FXXEE
addictus,a1,1,1,nor,XLXCO
additicius,a1,1,1,POS,XXXFO
addititius,a1,1,1,POS,FXXFE
additivus,a1,1,1,POS,DXXFS
adductus,a1,1,1,nor,XXXCO
adesus,a1,1,1,POS,XXXES
adfabricatus,a1,1,1,POS,XXXFS
adfectus,a1,1,1,POS,XXXBO
adfectatus,a1,1,1,POS,XXXEO
adfectiosus,a1,1,1,POS,DXXES
adfectuosus,a1,1,1,POS,DXXES
adficticius,a1,1,1,POS,XXXFO
adfirmativus,a1,1,1,POS,DXXFS
adfixus,a1,1,1,POS,XXXES
adflictus,a1,1,1,POS,XXXEO
adgnatus,a1,1,1,POS,XXXFO
adgnaticius,a1,1,1,POS,DLXFS
adhaesivus,a1,1,1,POS,GXXEK
adhortativus,a1,1,1,POS,DXXFS
adipatus,a1,1,1,POS,XXXEO
adipeus,a1,1,1,POS,DXXES
adjaculatus,a1,1,1,POS,XXXFS
adjectius,a1,1,1,POS,DXXES
adjecticius,a1,1,1,POS,DXXES
adjectivus,a1,1,1,POS,DGXES
adjunctus,a1,1,1,nor,XXXBO
adjunctivus,a1,1,1,POS,XGXFO
adjuratorius,a1,1,1,POS,DLXES
adluvius,a1,1,1,POS,XXXFS
adminiculabundus,a1,1,1,POS,XXXES
adminiculatus,a1,1,1,nor,XXXFO
administrativus,a1,1,1,POS,XXXFO
administratorius,a1,1,1,POS,DXXES
admirandus,a1,1,1,POS,XXXCO
admissarius,a1,1,1,POS,XAXEO
admissivus,a1,1,1,POS,XEXFS
admixtus,a1,1,1,POS,XXXES
admorsus,a1,1,1,POS,XXXEL
adnexus,a1,1,1,POS,XXXFO
adnixus,a1,1,1,POS,XXXFO
adnuntius,a1,1,1,POS,XXXFO
adolefactus,a1,1,1,POS,DXXFS
adolescentulus,a1,1,1,POS,XXXCO
adopertus,a1,1,1,POS,XXXCO
adoptaticius,a1,1,1,POS,XXXEO
adoptivus,a1,1,1,POS,XXXCO
adorandus,a1,1,1,POS,FXXFE
adoreus,a1,1,1,POS,XAXDO
adoriosus,a1,1,1,POS,DXXFS
adparatus,a1,1,1,nor,XXXCO
adparitorius,a1,1,1,POS,XLXFO
adpellativus,a1,1,1,POS,XGXFO
adpellatorius,a1,1,1,POS,XXXEO
adplicatus,a1,1,1,POS,XXXCO
adporrectus,a1,1,1,POS,XXXFO
adpositus,a1,1,1,nor,XXXBO
adpotus,a1,1,1,POS,XXXEO
adprobus,a1,1,1,POS,XXXEO
adquisitus,a1,1,1,POS,XXXFO
adrectus,a1,1,1,nor,XXXEL
adrectarius,a1,1,1,POS,DTXES
adreptius,a1,1,1,POS,DXXFS
adrepticius,a1,1,1,POS,DXXES
adreptitius,a1,1,1,POS,DXXES
adreptivus,a1,1,1,POS,DXXFZ
Adrumetinus,a1,1,1,POS,XXAES
adscitus,a1,1,1,POS,XXXES
adscripticius,a1,1,1,POS,XWXEO
adscriptivus,a1,1,1,POS,XWXEO
adsertorius,a1,1,1,POS,DLXFS
adsessorius,a1,1,1,POS,DLXFS
adsiduus,a1,1,1,nor,XXXAO
adsifornus,a1,1,1,POS,XDXIO
adsimilatus,a1,1,1,POS,XXXES
adsimulatus,a1,1,1,POS,XXXES
adsimulaticius,a1,1,1,POS,DLXES
adsitus,a1,1,1,POS,XXXEO
adsocius,a1,1,1,POS,DXXFS
adstatus,a1,1,1,POS,XWXDO
adstrictus,a1,1,1,nor,XXXBO
adstrictorius,a1,1,1,POS,XBXNO
adsuetus,a1,1,1,POS,XXXBO
adsumptivus,a1,1,1,POS,XGXEO
adtentus,a1,1,1,nor,XXXCO
adtenuatus,a1,1,1,nor,XXXEO
adterraneus,a1,1,1,POS,XXXFO
adtertiarius,a1,1,1,POS,DXXFS
adtertiatus,a1,1,1,POS,XXXFS
adtestatus,a1,1,1,POS,XXXEO
adtiguus,a1,1,1,POS,XXXDO
adtonitus,a1,1,1,POS,XXXBO
adtractus,a1,1,1,nor,XXXEO
adtractorius,a1,1,1,POS,DXXFS
adtributus,a1,1,1,POS,XXXES
adtritus,a1,1,1,nor,XXXCO
adulatorius,a1,1,1,POS,XXXFO
adulescentulus,a1,1,1,POS,XXXCO
adultus,a1,1,1,nor,XXXBO
adulterus,a1,1,1,POS,EXXEE
adulteratus,a1,1,1,POS,XXXEO
adulterinus,a1,1,1,POS,XXXCO
adumbratus,a1,1,1,POS,XXXCO
aduncus,a1,1,1,POS,XXXCO
adustus,a1,1,1,POS,XXXCO
advectus,a1,1,1,POS,XXXEO
advectius,a1,1,1,POS,DXXES
advecticius,a1,1,1,POS,XXXFO
advenus,a1,1,1,POS,XXXCS
adventicius,a1,1,1,POS,XXXBO
adventitius,a1,1,1,POS,FXXES
adventorius,a1,1,1,POS,XXXFS
adversus,a1,1,1,nor,XXXAO
adversarius,a1,1,1,POS,XXXCO
adversativus,a1,1,1,POS,DGXES
advorsus,a1,1,1,nor,BXXAX
advorsarius,a1,1,1,POS,BXXDX
aecus,a1,1,1,nor,XXXAO
aeclesiasticus,a1,1,1,POS,FEXFM
aecoreus,a1,1,1,POS,XXXCO
aedificatus,a1,1,1,POS,XXXDE
aedificatorius,a1,1,1,POS,DTXES
aedilicius,a1,1,1,POS,XLXCO
aedonius,a1,1,1,POS,XAXFO
aegisonus,a1,1,1,POS,XXXFO
aegrotus,a1,1,1,POS,XXXCO
aegrotaticius,a1,1,1,POS,DBXFS
Aegyptius,a1,1,1,POS,XXECO
Aegyptiacus,a1,1,1,POS,XXEEO
Aemilius,a1,1,1,POS,XXXCS
aemulus,a1,1,1,POS,XXXBO
aenus,a1,1,1,POS,XXXCO
aeneus,a1,1,1,POS,XXXCO
aeneolus,a1,1,1,POS,XXXEO
aenigmaticus,a1,1,1,POS,DXXES
aeniolus,a1,1,1,POS,EXXEW
aequus,a1,1,1,nor,XXXAO
aequaevus,a1,1,1,POS,XXXCO
aequanimus,a1,1,1,POS,XXXIO
aequicrurius,a1,1,1,POS,DSXFS
aequidianus,a1,1,1,POS,XXXFO
aequilatus,a1,1,1,POS,ESXEP
aequilaterus,a1,1,1,POS,DSXFS
aequilibratus,a1,1,1,POS,DXXFS
aequimanus,a1,1,1,POS,DXXES
aequipedus,a1,1,1,POS,DSXES
aequisonantius,a1,1,1,POS,FDXEZ
aequiternus,a1,1,1,POS,DEXES
aequivocus,a1,1,1,POS,XXXES
aequoreus,a1,1,1,POS,XXXCO
aeracius,a1,1,1,POS,XXXFO
aerarius,a1,1,1,POS,XXXCO
aeratus,a1,1,1,POS,XXXCO
aercus,a1,1,1,POS,FXXEE
aereus,a1,1,1,POS,XXXCO
aerius,a1,1,1,POS,XXXBO
aerinus,a1,1,1,POS,XXXNO
aerisonus,a1,1,1,POS,XXXDO
aerodynamicus,a1,1,1,POS,HXXEK
aeronauticus,a1,1,1,POS,HXXEK
aerosus,a1,1,1,POS,XXXDO
aerugineus,a1,1,1,POS,GXXEK
aeruginosus,a1,1,1,POS,XXXEO
aerumnosus,a1,1,1,POS,XXXCO
aesculanus,a1,1,1,POS,FLXEE
aesculeus,a1,1,1,POS,XXXFO
aesculinus,a1,1,1,POS,XXXFO
aesculnius,a1,1,1,POS,XXXFO
aessomus,a1,1,1,POS,XXXFO
aestimatus,a1,1,1,POS,XXXEO
aestimatorius,a1,1,1,POS,XXXEO
aestivus,a1,1,1,POS,XXXBO
aestuabundus,a1,1,1,POS,DXXFS
aestuarius,a1,1,1,POS,GXXEK
aestuosus,a1,1,1,nor,XXXCO
aeternus,a1,1,1,nor,XXXAO
aethereus,a1,1,1,POS,XXXBO
aetherius,a1,1,1,POS,XXXBO
Aethiopicus,a1,1,1,POS,XXXCZ
aethylicus,a1,1,1,POS,GXXEK
aeviternus,a1,1,1,nor,XXXAO
affabricatus,a1,1,1,POS,XXXFS
affectus,a1,1,1,POS,XXXBO
affectatus,a1,1,1,POS,XXXEO
affectiosus,a1,1,1,POS,DXXES
affectivus,a1,1,1,POS,EXXEP
affectuosus,a1,1,1,POS,DXXES
afficticius,a1,1,1,POS,XXXFO
affirmativus,a1,1,1,POS,DXXFS
affixus,a1,1,1,POS,XXXES
afflexus,a1,1,1,POS,XXXEO
afflictus,a1,1,1,POS,XXXEO
Afranius,a1,1,1,POS,XXXCO
Africus,a1,1,1,POS,XXXCO
Africanus,a1,1,1,POS,XXXCO
agamus,a1,1,1,POS,DXXES
agitatus,a1,1,1,nor,XXXDO
agnatus,a1,1,1,POS,XXXFO
agnaticius,a1,1,1,POS,DLXFS
agninus,a1,1,1,POS,XXXCO
agonistarchicus,a1,1,1,POS,XLXFS
agonosticus,a1,1,1,POS,EEXEE
agonotheticus,a1,1,1,POS,XLXFO
agrarius,a1,1,1,POS,XAXCO
agrius,a1,1,1,POS,XAXEO
agrosus,a1,1,1,POS,XAXFS
agrosius,a1,1,1,POS,XAXFO
ahenus,a1,1,1,POS,XXXCO
aheneus,a1,1,1,POS,XXXCO
alarius,a1,1,1,POS,XWXDO
alatus,a1,1,1,POS,XXXEO
albus,a1,1,1,nor,XXXAO
albarius,a1,1,1,POS,XTXEO
albatus,a1,1,1,POS,XXXDO
albicapillus,a1,1,1,POS,XXXFO
albicerus,a1,1,1,POS,XXXNO
albiceratus,a1,1,1,POS,XXXNO
albicomus,a1,1,1,POS,XXXFS
albidus,a1,1,1,nor,XXXCO
albineus,a1,1,1,POS,DXXFS
albogilvus,a1,1,1,POS,DXXFS
albulus,a1,1,1,POS,XXXDO
alcalinus,a1,1,1,POS,GSXEK
alcinus,a1,1,1,POS,XAXIO
alcmanius,a1,1,1,POS,XPXES
alcoholicus,a1,1,1,POS,GXXEK
alcyoneus,a1,1,1,POS,XXXFO
alcyonidus,a1,1,1,POS,XXXFO
alearius,a1,1,1,POS,DXXES
aleatorius,a1,1,1,POS,XXXEO
alectorius,a1,1,1,POS,XXXNS
alerius,a1,1,1,POS,XXXEQ
Alexandrinus,a1,1,1,POS,XXECO
algidus,a1,1,1,POS,XXXEO
algificus,a1,1,1,POS,XXXFO
algosus,a1,1,1,POS,XAXEO
alicacius,a1,1,1,POS,XAXNO
alicarius,a1,1,1,POS,XAXEO
alienus,a1,1,1,nor,XXXAO
alienigenus,a1,1,1,POS,XXXCO
alimentarius,a1,1,1,POS,XLXEO
aliquantus,a1,1,1,POS,XXXCO
aliquantulus,a1,1,1,POS,XXXCS
aliturgicus,a1,1,1,POS,EEXEE
allegoricus,a1,1,1,POS,DGXFS
alleluiaticus,a1,1,1,POS,FEXFE
allergicus,a1,1,1,POS,GBXEK
allophylus,a1,1,1,POS,DXXFS
alluvius,a1,1,1,POS,XXXFS
almus,a1,1,1,POS,XXXCO
alnus,a1,1,1,POS,XXXEO
alneus,a1,1,1,POS,XXXFO
alogus,a1,1,1,POS,DXXFS
alphabeticus,a1,1,1,POS,GGXEK
Alpinus,a1,1,1,POS,XXXCO
alsus,a1,1,1,nor,XXXEO
alsius,a1,1,1,POS,XXXFO
alsiosus,a1,1,1,POS,XXXEO
altus,a1,1,1,nor,XXXAO
alternus,a1,1,1,POS,XXXAO
alternatus,a1,1,1,POS,XXXDO
alticinctus,a1,1,1,POS,XXXFL
alticomus,a1,1,1,POS,DAXFS
altijugus,a1,1,1,POS,DXXFS
altilaneus,a1,1,1,POS,XAXIO
altipendulus,a1,1,1,POS,XXXFO
altisonus,a1,1,1,POS,XXXDO
altitonus,a1,1,1,POS,XXXFS
altiusculus,a1,1,1,POS,XXXFO
altivolus,a1,1,1,POS,XXXNO
alucinogenus,a1,1,1,POS,GBXEK
alumentarius,a1,1,1,POS,XXXEO
aluminatus,a1,1,1,POS,XXXNO
aluminosus,a1,1,1,POS,XXXEO
alumnus,a1,1,1,POS,XXXCO
alutacius,a1,1,1,POS,DXXES
alutarius,a1,1,1,POS,DXXFS
alveatus,a1,1,1,POS,XXXFO
alveolatus,a1,1,1,POS,XXXFO
amarus,a1,1,1,nor,XXXBO
amaracinus,a1,1,1,POS,XAXNO
amarulentus,a1,1,1,POS,XXXFO
amatus,a1,1,1,POS,XXXEO
amatorius,a1,1,1,POS,XXXCO
ambagiosus,a1,1,1,POS,XXXFO
ambifarius,a1,1,1,POS,DGXES
ambiguus,a1,1,1,POS,XXXAO
ambitiosus,a1,1,1,nor,XXXBO
ambligonius,a1,1,1,POS,XSXFO
amblygonius,a1,1,1,POS,XSXFO
ambroscus,a1,1,1,POS,XYXCO
ambrosius,a1,1,1,POS,XYXCO
ambrosiacus,a1,1,1,POS,XYXFS
ambulatorius,a1,1,1,POS,XXXCO
ambustulatus,a1,1,1,POS,XXXFO
Americanus,a1,1,1,POS,HXXEZ
amethystus,a1,1,1,POS,XXXEO
amethystinus,a1,1,1,POS,XXXDO
amethystinatus,a1,1,1,POS,XXXFO
amflexus,a1,1,1,POS,XXXFS
amicus,a1,1,1,nor,XXXAO
amicosus,a1,1,1,POS,DXXFS
amictorius,a1,1,1,POS,XXXES
Aminaeus,a1,1,1,POS,XAXCO
Amineus,a1,1,1,POS,XAXCO
Aminneus,a1,1,1,POS,XAXCO
Aminnius,a1,1,1,POS,XAXCO
amitinus,a1,1,1,POS,XXXES
Ammineus,a1,1,1,POS,XAXCO
amminiculabundus,a1,1,1,POS,XXXES
amminiculatus,a1,1,1,nor,XXXFO
amministrativus,a1,1,1,POS,XXXFO
amministratorius,a1,1,1,POS,DXXES
ammirandus,a1,1,1,POS,XXXCO
ammissarius,a1,1,1,POS,XAXEO
ammissivus,a1,1,1,POS,XEXFS
ammixtus,a1,1,1,POS,XXXES
ammoniacus,a1,1,1,POS,FSXEM
ammorsus,a1,1,1,POS,XXXEL
amnicus,a1,1,1,POS,XXXEO
amnicolus,a1,1,1,POS,XXXFO
amnigenus,a1,1,1,POS,XXXFO
amoebaeus,a1,1,1,POS,DXXES
amoenus,a1,1,1,nor,XXXCO
amorabundus,a1,1,1,POS,XXXFO
amorificus,a1,1,1,POS,DXXFS
amothystinatus,a1,1,1,POS,XXXFS
ampelinus,a1,1,1,POS,XAXFO
amphibius,a1,1,1,POS,XXXFO
amphibolus,a1,1,1,POS,DXXFS
amphistomus,a1,1,1,POS,XXXFO
amphitheatricus,a1,1,1,POS,XXXEO
amphitheatriticus,a1,1,1,POS,XXXNO
